,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2970,0,5.524912753858413e-11,3.2074086068720095e-10,6.047600671884646e-09,3.2649488895342225e-07,2.5642055338542975e-08,4.6528846408904444e-11,3.72754335764455e-09,1.031960056822748e-11,5.4974614721124e-06,5.337017581889293e-11,7.869026910525649e-08,2.2319547830047196e-07,1.274013917626493e-08,4.225705974372773e-10,1.1970757718415825e-11,2.6987372007752312e-08,1.3974617646232701e-08,4.800401019976999e-07,1.2421487449731927e-14,2.816639942115895e-10,1.2276421199053367e-15
2970,1,5.524912753858413e-11,3.2074086068720095e-10,6.047600671884646e-09,3.2649488895342225e-07,2.5642055338542975e-08,4.6528846408904444e-11,3.72754335764455e-09,1.031960056822748e-11,5.4974614721124e-06,5.337017581889293e-11,7.869026910525649e-08,2.2319547830047196e-07,1.274013917626493e-08,4.225705974372773e-10,1.1970757718415825e-11,2.6987372007752312e-08,1.3974617646232701e-08,4.800401019976999e-07,1.2421487449731927e-14,2.816639942115895e-10,1.2276421199053367e-15
2971,0,4.0038679294772395e-12,3.189184306985038e-10,6.048681399324694e-09,3.26488983956255e-07,2.5506372274149668e-08,1.9362713743562715e-13,3.7275551687194e-09,3.147021438744662e-11,5.497398311072437e-06,5.342786792410931e-11,7.869779002057063e-08,2.2318604881832026e-07,1.2745463765992393e-08,3.8158945057584215e-10,1.197176038858494e-11,2.6991869130424395e-08,1.3974217816323936e-08,4.800258957180333e-07,9.652464916763692e-14,2.816432607966046e-10,1.0369866274809354e-11
2971,1,4.0038679294772395e-12,3.189184306985038e-10,6.048681399324694e-09,3.26488983956255e-07,2.5506372274149668e-08,1.9362713743562715e-13,3.7275551687194e-09,3.147021438744662e-11,5.497398311072437e-06,5.342786792410931e-11,7.869779002057063e-08,2.2318604881832026e-07,1.2745463765992393e-08,3.8158945057584215e-10,1.197176038858494e-11,2.6991869130424395e-08,1.3974217816323936e-08,4.800258957180333e-07,9.652464916763692e-14,2.816432607966046e-10,1.0369866274809354e-11
2972,0,7.858328292015444e-11,3.237059035475533e-10,6.052554509294102e-09,3.2649518843325066e-07,2.646875534057663e-08,2.752657517614103e-12,3.727362633715753e-09,1.7280740950882407e-10,5.497461294836874e-06,5.3299059718688035e-11,7.863570162277948e-08,2.2323894627556806e-07,1.2701936539030734e-08,4.422234956696913e-10,1.1982784556274773e-11,2.7007799279768138e-08,1.3974641664346588e-08,4.800409405055926e-07,3.772107409413805e-14,2.816658503657088e-10,5.1361719781775617e-14
2972,1,7.858328292015444e-11,3.237059035475533e-10,6.052554509294102e-09,3.2649518843325066e-07,2.646875534057663e-08,2.752657517614103e-12,3.727362633715753e-09,1.7280740950882407e-10,5.497461294836874e-06,5.3299059718688035e-11,7.863570162277948e-08,2.2323894627556806e-07,1.2701936539030734e-08,4.422234956696913e-10,1.1982784556274773e-11,2.7007799279768138e-08,1.3974641664346588e-08,4.800409405055926e-07,3.772107409413805e-14,2.816658503657088e-10,5.1361719781775617e-14
2973,0,5.599927292709861e-11,3.207668236590382e-10,6.047571998159197e-09,3.2649353320700163e-07,2.5641300945833108e-08,4.68501087398784e-11,3.732771939006366e-09,1.0333711052926565e-11,5.497442903916438e-06,5.3957512462514574e-11,7.869008041027671e-08,2.2319449932391502e-07,1.2740108462985789e-08,4.230632324499217e-10,1.197071261560545e-11,2.6987226335053148e-08,1.397455763867822e-08,4.800379905759583e-07,1.0693838392930588e-14,2.8166250928829406e-10,9.833849229715086e-16
2973,1,5.599927292709861e-11,3.207668236590382e-10,6.047571998159197e-09,3.2649353320700163e-07,2.5641300945833108e-08,4.68501087398784e-11,3.732771939006366e-09,1.0333711052926565e-11,5.497442903916438e-06,5.3957512462514574e-11,7.869008041027671e-08,2.2319449932391502e-07,1.2740108462985789e-08,4.230632324499217e-10,1.197071261560545e-11,2.6987226335053148e-08,1.397455763867822e-08,4.800379905759583e-07,1.0693838392930588e-14,2.8166250928829406e-10,9.833849229715086e-16
2974,0,3.1054821976223175e-11,3.18922433738096e-10,6.048409705680278e-09,3.26487623107335e-07,2.550661525093094e-08,1.9564086678816595e-13,3.73278376498222e-09,1.4024448736929627e-11,5.497379744504019e-06,5.3950351645978487e-11,7.869753844273221e-08,2.2318509378289886e-07,1.2745405789799102e-08,3.8187527228936147e-10,1.1971234767371719e-11,2.699064428787713e-08,1.397415768170096e-08,4.800237765029245e-07,8.537514770666499e-14,2.816417238316049e-10,1.150237545456071e-11
2974,1,3.1054821976223175e-11,3.18922433738096e-10,6.048409705680278e-09,3.26487623107335e-07,2.550661525093094e-08,1.9564086678816595e-13,3.73278376498222e-09,1.4024448736929627e-11,5.497379744504019e-06,5.3950351645978487e-11,7.869753844273221e-08,2.2318509378289886e-07,1.2745405789799102e-08,3.8187527228936147e-10,1.1971234767371719e-11,2.699064428787713e-08,1.397415768170096e-08,4.800237765029245e-07,8.537514770666499e-14,2.816417238316049e-10,1.150237545456071e-11
