,Unnamed: 1,vENO,vFBA1,vFBA2,vGAPD,vPGK,vPGMd,vPGMi,vTPI,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
4752,0,4.7349556064591025e-07,0.9999999887803818,3.8749007951252165e-10,1.253686396972154e-07,2.076481249415164e-10,2.764700514863362e-11,2.111507687402917e-11,9.18133524532414e-09,2.4243417669001627e-11,3.055962005780221e-14,8.307523139823995e-15,1.45732400121475e-13,3.9630235172886555e-15,6.587413983938071e-13,1.4037564970075479e-14,2.276004409284653e-11,7.401316759905361e-12,1.5613572466120973e-08,7.253492277265634e-07,1.451651444332056e-16,7.569143634812856e-14
4752,1,4.7349556064591025e-07,0.9999999887803818,3.8749007951252165e-10,1.253686396972154e-07,2.076481249415164e-10,2.764700514863362e-11,2.111507687402917e-11,9.18133524532414e-09,2.4243417669001627e-11,3.055962005780221e-14,8.307523139823995e-15,1.45732400121475e-13,3.9630235172886555e-15,6.587413983938071e-13,1.4037564970075479e-14,2.276004409284653e-11,7.401316759905361e-12,1.5613572466120973e-08,7.253492277265634e-07,1.451651444332056e-16,7.569143634812856e-14
4753,0,0.0013624759391732447,7.806615283753564e-10,6.502990074857645e-10,1.5471188136389135e-06,4.3517164698136934e-12,1.7669808104643407e-07,3.0405770997080782e-06,1.703121520876398e-08,1.6858522416867406e-13,2.831295946452086e-09,9.57477243233952e-15,3.2037685817589675e-14,7.205497304161192e-16,1.545601768394048e-10,1.385477761391798e-09,1.399600185132959e-09,8.994184073988809e-11,3.2276413358532286e-13,4.776229569772087e-08,8.709908665992337e-16,5.433767239918331e-09
4753,1,0.0013624759391732447,7.806615283753564e-10,6.502990074857645e-10,1.5471188136389135e-06,4.3517164698136934e-12,1.7669808104643407e-07,3.0405770997080782e-06,1.703121520876398e-08,1.6858522416867406e-13,2.831295946452086e-09,9.57477243233952e-15,3.2037685817589675e-14,7.205497304161192e-16,1.545601768394048e-10,1.385477761391798e-09,1.399600185132959e-09,8.994184073988809e-11,3.2276413358532286e-13,4.776229569772087e-08,8.709908665992337e-16,5.433767239918331e-09
4754,0,7.398472420248754e-11,0.9999999887803487,3.7374795854957067e-07,5.201911323913482e-07,2.4334178532683177e-12,4.760639066091309e-06,6.089133169525059e-06,6.331339383204023e-08,4.988356700036053e-12,2.4802010481694543e-14,1.2531687448209076e-14,1.9144470793437735e-14,1.4410994608322384e-15,7.65319180578003e-15,1.5977716226102171e-15,3.71001681130516e-09,2.2919608749021024e-11,5.333470615247173e-14,1.1347192174597509e-10,5.0807800551621966e-15,6.736324950775207e-08
4754,1,7.398472420248754e-11,0.9999999887803487,3.7374795854957067e-07,5.201911323913482e-07,2.4334178532683177e-12,4.760639066091309e-06,6.089133169525059e-06,6.331339383204023e-08,4.988356700036053e-12,2.4802010481694543e-14,1.2531687448209076e-14,1.9144470793437735e-14,1.4410994608322384e-15,7.65319180578003e-15,1.5977716226102171e-15,3.71001681130516e-09,2.2919608749021024e-11,5.333470615247173e-14,1.1347192174597509e-10,5.0807800551621966e-15,6.736324950775207e-08
4755,0,5.716448263986685e-07,0.9999999887803818,3.5640702522121337e-10,1.2560316630285598e-07,2.1102763239507063e-10,3.097473653946081e-11,2.4281440036856153e-11,7.184492915881431e-09,2.3104389363930208e-11,3.2331192235066104e-14,1.0701216247908875e-14,1.4006719958055976e-13,4.683573247704774e-15,6.210423424616313e-13,1.7118981670823753e-14,2.237137161662156e-11,7.020868091693584e-12,1.5912630862881426e-08,8.757526319746026e-07,0.0,9.122207663554154e-14
4755,1,5.716448263986685e-07,0.9999999887803818,3.5640702522121337e-10,1.2560316630285598e-07,2.1102763239507063e-10,3.097473653946081e-11,2.4281440036856153e-11,7.184492915881431e-09,2.3104389363930208e-11,3.2331192235066104e-14,1.0701216247908875e-14,1.4006719958055976e-13,4.683573247704774e-15,6.210423424616313e-13,1.7118981670823753e-14,2.237137161662156e-11,7.020868091693584e-12,1.5912630862881426e-08,8.757526319746026e-07,0.0,9.122207663554154e-14
4756,0,7.816786193737004e-05,7.828402082019827e-10,6.521039128100195e-10,1.562132973333272e-06,7.085137992400443e-12,1.0806163649627615e-05,1.0835707489344187e-05,1.7193314114779593e-08,2.1314429072726393e-13,9.559403468515983e-12,3.63278130521117e-14,3.555401718781294e-14,2.8821989216644768e-15,1.5608415408917428e-10,1.3893199456379978e-09,1.4133713530592357e-09,9.083437297537107e-11,3.410827408656551e-13,4.867325046509747e-08,1.3064862998988504e-15,1.373807939916246e-08
4756,1,7.816786193737004e-05,7.828402082019827e-10,6.521039128100195e-10,1.562132973333272e-06,7.085137992400443e-12,1.0806163649627615e-05,1.0835707489344187e-05,1.7193314114779593e-08,2.1314429072726393e-13,9.559403468515983e-12,3.63278130521117e-14,3.555401718781294e-14,2.8821989216644768e-15,1.5608415408917428e-10,1.3893199456379978e-09,1.4133713530592357e-09,9.083437297537107e-11,3.410827408656551e-13,4.867325046509747e-08,1.3064862998988504e-15,1.373807939916246e-08
