,,0,1,2,3,4,5,6,7
6210,0,1.1518931905881405e-06,0.0005137506677228136,1.6847363049765584e-05,1.684861791192353e-05,3.5935141331289364e-05,3.908934889359694e-07,1.1947282739769461e-06,3.81113993658919e-07
6210,1,1.1518931905881405e-06,0.0005137506677228136,1.6847363049765584e-05,1.684861791192353e-05,3.5935141331289364e-05,3.908934889359694e-07,1.1947282739769461e-06,3.81113993658919e-07
6211,0,1.1518931896305731e-06,0.00051376738492369,1.684954650454235e-05,1.684543624658488e-05,3.5935118288708744e-05,3.90893489635965e-07,1.1947274342803005e-06,3.8137559023940146e-07
6211,1,1.1518931896305731e-06,0.00051376738492369,1.684954650454235e-05,1.684543624658488e-05,3.5935118288708744e-05,3.90893489635965e-07,1.1947274342803005e-06,3.8137559023940146e-07
6212,0,1.151893221767644e-06,0.0005137491201438005,1.6847223072237697e-05,1.684881511339533e-05,3.59351427246287e-05,3.908934873117131e-07,1.1947282693856187e-06,3.836279387613122e-07
6212,1,1.151893221767644e-06,0.0005137491201438005,1.6847223072237697e-05,1.684881511339533e-05,3.59351427246287e-05,3.908934873117131e-07,1.1947282693856187e-06,3.836279387613122e-07
6213,0,1.1518737303047577e-06,0.000513750668309663,1.6847363042238825e-05,1.6848619802971407e-05,3.5934953642620335e-05,3.9089463802623665e-07,1.194731585920998e-06,3.8111399530537977e-07
6213,1,1.1518737303047577e-06,0.000513750668309663,1.6847363042238825e-05,1.6848619802971407e-05,3.5934953642620335e-05,3.9089463802623665e-07,1.194731585920998e-06,3.8111399530537977e-07
6214,0,1.1518737303003167e-06,0.0005137673767680843,1.6849546545111564e-05,1.6845433854369567e-05,3.59349303314751e-05,3.908946377681098e-07,1.194731585323143e-06,3.8137539386703866e-07
6214,1,1.1518737303003167e-06,0.0005137673767680843,1.6849546545111564e-05,1.6845433854369567e-05,3.59349303314751e-05,3.908946377681098e-07,1.194731585323143e-06,3.8137539386703866e-07
6215,0,1.1518737609130514e-06,0.0005137491201389472,1.6847223072304308e-05,1.6848815095697265e-05,3.5934954814888726e-05,3.9089463638976794e-07,1.1947315812996947e-06,3.836279387457691e-07
6215,1,1.1518737609130514e-06,0.0005137491201389472,1.6847223072304308e-05,1.6848815095697265e-05,3.5934954814888726e-05,3.9089463638976794e-07,1.1947315812996947e-06,3.836279387457691e-07
6216,0,1.1507632621302322e-06,0.0005137506683201135,1.684736304139506e-05,1.684862008114611e-05,3.59242213948104e-05,3.909603050852428e-07,1.1949143062676107e-06,3.811139953747687e-07
6216,1,1.1507632621302322e-06,0.0005137506683201135,1.684736304139506e-05,1.684862008114611e-05,3.59242213948104e-05,3.909603050852428e-07,1.1949143062676107e-06,3.811139953747687e-07
6217,0,1.1507632479920971e-06,0.0005137673966806915,1.684954648062981e-05,1.684543762772064e-05,3.592419660334263e-05,3.909602451304239e-07,1.1949143058129743e-06,3.813758960297944e-07
6217,1,1.1507632479920971e-06,0.0005137673966806915,1.684954648062981e-05,1.684543762772064e-05,3.592419660334263e-05,3.909602451304239e-07,1.1949143058129743e-06,3.813758960297944e-07
6218,0,1.1507632677435197e-06,0.0005137491186028693,1.6847223102022205e-05,1.6848806940100513e-05,3.592422118025036e-05,3.9096030188558e-07,1.1949142912013292e-06,3.836279390460844e-07
6218,1,1.1507632677435197e-06,0.0005137491186028693,1.6847223102022205e-05,1.6848806940100513e-05,3.592422118025036e-05,3.9096030188558e-07,1.1949142912013292e-06,3.836279390460844e-07
6219,0,1.1516723342638225e-06,0.0005137506871412449,1.6847363291714267e-05,1.684850997233794e-05,3.5933004552227556e-05,3.9089222546164434e-07,1.1947646385494068e-06,3.8111450715816206e-07
6219,1,1.1516723342638225e-06,0.0005137506871412449,1.6847363291714267e-05,1.684850997233794e-05,3.5933004552227556e-05,3.9089222546164434e-07,1.1947646385494068e-06,3.8111450715816206e-07
6220,0,1.1516723292583821e-06,0.0005137673745720294,1.684954651937826e-05,1.6845434872999744e-05,3.5932987560656076e-05,3.908922216646816e-07,1.1947646278679512e-06,3.813753914234378e-07
6220,1,1.1516723292583821e-06,0.0005137673745720294,1.684954651937826e-05,1.6845434872999744e-05,3.5932987560656076e-05,3.908922216646816e-07,1.1947646278679512e-06,3.813753914234378e-07
6221,0,1.1516723202167258e-06,0.0005137491201061739,1.6847223072745622e-05,1.684881498230741e-05,3.593300945821761e-05,3.9089222434309466e-07,1.1947646353258742e-06,3.8362793864473875e-07
6221,1,1.1516723202167258e-06,0.0005137491201061739,1.6847223072745622e-05,1.684881498230741e-05,3.593300945821761e-05,3.9089222434309466e-07,1.1947646353258742e-06,3.8362793864473875e-07
