,,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
108,0,9.058202056983528e-06,9.602645669394823e-11,1.583841181431159e-05,1.1406064070510543e-05,0.0020334056174941373,4.029826522951342e-07,1.2234228776661132e-06,3.836488542913592e-06,1.4429218552114384e-05,8.819385623516978e-05,0.001389895763653599,0.0005320496368830504,0.007768951581617993,0.0030487907946918458,0.015196601485335111,0.00032402524426977815,0.002539517686296717,8.223793168713377e-05,0.0001786946492227219,0.023899270159000473,8.256867940891334e-05
108,1,9.058202056983528e-06,9.602645669394823e-11,1.583841181431159e-05,1.1406064070510543e-05,0.0020334056174941373,4.029826522951342e-07,1.2234228776661132e-06,3.836488542913592e-06,1.4429218552114384e-05,8.819385623516978e-05,0.001389895763653599,0.0005320496368830504,0.007768951581617993,0.0030487907946918458,0.015196601485335111,0.00032402524426977815,0.002539517686296717,8.223793168713377e-05,0.0001786946492227219,0.023899270159000473,8.256867940891334e-05
109,0,9.058355448903789e-06,4.4781001042360664e-11,1.5930449129718014e-05,1.1173602687994385e-05,0.002107407094272128,4.036344457459477e-07,1.2249956601824016e-06,3.532955610968341e-06,1.4084051425720186e-05,8.819286885780658e-05,0.0013839007871082885,0.0005307439313630862,0.007702248344366008,0.003048372225850868,0.015196579892198211,0.0003237903860229468,0.002539745993414992,8.226123032819996e-05,0.00017869455956218738,0.023899286724520616,8.256836601112783e-05
109,1,9.058355448903789e-06,4.4781001042360664e-11,1.5930449129718014e-05,1.1173602687994385e-05,0.002107407094272128,4.036344457459477e-07,1.2249956601824016e-06,3.532955610968341e-06,1.4084051425720186e-05,8.819286885780658e-05,0.0013839007871082885,0.0005307439313630862,0.007702248344366008,0.003048372225850868,0.015196579892198211,0.0003237903860229468,0.002539745993414992,8.226123032819996e-05,0.00017869455956218738,0.023899286724520616,8.256836601112783e-05
110,0,9.058365021846781e-06,4.597405225561868e-11,1.5837810550840972e-05,1.1150184184857809e-05,0.002111982144024447,4.036751380143874e-07,1.2250948528692338e-06,3.8541841474818115e-06,1.4063356044339562e-05,8.819280725060947e-05,0.0013835283496536769,0.0005306638664781594,0.007698126672005913,0.0030487923957144432,0.01519660157732909,0.0003240186992826371,0.0025397691143854138,8.225748707967219e-05,0.00017869455398875677,0.023899287869473426,8.256834666957171e-05
110,1,9.058365021846781e-06,4.597405225561868e-11,1.5837810550840972e-05,1.1150184184857809e-05,0.002111982144024447,4.036751380143874e-07,1.2250948528692338e-06,3.8541841474818115e-06,1.4063356044339562e-05,8.819280725060947e-05,0.0013835283496536769,0.0005306638664781594,0.007698126672005913,0.0030487923957144432,0.01519660157732909,0.0003240186992826371,0.0025397691143854138,8.225748707967219e-05,0.00017869455398875677,0.023899287869473426,8.256834666957171e-05
111,0,9.058098606922243e-06,5.620329748323919e-11,1.5840077868933463e-05,1.1216354857822737e-05,0.0020910221204563486,4.034905973838513e-07,1.224649831695478e-06,3.8352257864371125e-06,1.4158399247179873e-05,8.819452172126934e-05,0.001385230725529094,0.0005310349546832536,0.007717012066260406,0.0030487916405089175,0.015196601117578453,0.0003240246000017337,0.002539704093454869,8.225254419077961e-05,0.00017869470934697194,0.023899283280885236,8.256843472444065e-05
111,1,9.058098606922243e-06,5.620329748323919e-11,1.5840077868933463e-05,1.1216354857822737e-05,0.0020910221204563486,4.034905973838513e-07,1.224649831695478e-06,3.8352257864371125e-06,1.4158399247179873e-05,8.819452172126934e-05,0.001385230725529094,0.0005310349546832536,0.007717012066260406,0.0030487916405089175,0.015196601117578453,0.0003240246000017337,0.002539704093454869,8.225254419077961e-05,0.00017869470934697194,0.023899283280885236,8.256843472444065e-05
112,0,9.057977144355584e-06,1.0357673820430824e-10,1.5928306070706866e-05,1.1419956440130504e-05,0.0020321094321808135,4.0297271947612344e-07,1.2233986473533594e-06,3.5345835338857583e-06,1.443557501609727e-05,8.819530359752195e-05,0.0013899993888223825,0.0005320713228671919,0.007770120211736956,0.0030483708781598147,0.015196580366447023,0.00032379136131774176,0.0025395039243855345,8.224243528486736e-05,0.00017869478030886385,0.02389926969573641,8.256868341691282e-05
112,1,9.057977144355584e-06,1.0357673820430824e-10,1.5928306070706866e-05,1.1419956440130504e-05,0.0020321094321808135,4.0297271947612344e-07,1.2233986473533594e-06,3.5345835338857583e-06,1.443557501609727e-05,8.819530359752195e-05,0.0013899993888223825,0.0005320713228671919,0.007770120211736956,0.0030483708781598147,0.015196580366447023,0.00032379136131774176,0.0025395039243855345,8.224243528486736e-05,0.00017869478030886385,0.02389926969573641,8.256868341691282e-05
