,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5184,0,1.7609103334685562e-07,1.0375146252907295e-10,2.030952644823086e-09,2.514998876249953e-08,1.1832533227527526e-05,2.8821812584928653e-07,3.3123299663688084e-07,2.2625385655175405e-12,2.299301945377068e-05,8.510075687607723e-07,7.758402360076751e-07,2.098362649299119e-06,1.3739201130957834e-09,8.715007448339973e-11,3.971354495257984e-12,9.160062262197378e-09,1.7587104433371137e-09,5.3608269841336686e-08,6.981042642907305e-06,1.0372074726872071e-10,1.633771961576276e-12
5184,1,1.7609103334685562e-07,1.0375146252907295e-10,2.030952644823086e-09,2.514998876249953e-08,1.1832533227527526e-05,2.8821812584928653e-07,3.3123299663688084e-07,2.2625385655175405e-12,2.299301945377068e-05,8.510075687607723e-07,7.758402360076751e-07,2.098362649299119e-06,1.3739201130957834e-09,8.715007448339973e-11,3.971354495257984e-12,9.160062262197378e-09,1.7587104433371137e-09,5.3608269841336686e-08,6.981042642907305e-06,1.0372074726872071e-10,1.633771961576276e-12
5185,0,1.765481605676435e-07,1.0194602475482824e-10,2.0309214273560522e-09,2.514940758763435e-08,1.1832873907742874e-05,2.8770569623150525e-07,3.3053046528818637e-07,1.1501487513310236e-11,2.299335856408027e-05,8.47981904845071e-07,7.758561166785853e-07,2.098403930143422e-06,1.37395545982133e-09,8.925292623029879e-11,3.965605621658597e-12,9.158931714501987e-09,1.7585845830773994e-09,5.36046054322014e-08,6.979764107106258e-06,1.0370952013838419e-10,2.844454025468482e-09
5185,1,1.765481605676435e-07,1.0194602475482824e-10,2.0309214273560522e-09,2.514940758763435e-08,1.1832873907742874e-05,2.8770569623150525e-07,3.3053046528818637e-07,1.1501487513310236e-11,2.299335856408027e-05,8.47981904845071e-07,7.758561166785853e-07,2.098403930143422e-06,1.37395545982133e-09,8.925292623029879e-11,3.965605621658597e-12,9.158931714501987e-09,1.7585845830773994e-09,5.36046054322014e-08,6.979764107106258e-06,1.0370952013838419e-10,2.844454025468482e-09
5186,0,1.7784112788848591e-07,1.0387157187214437e-10,2.0320342564774394e-09,2.5149729573941326e-08,1.1832592250063503e-05,2.887642244464426e-07,3.306573100002986e-07,2.2097505939053675e-10,2.2993407647369502e-05,8.485857040553676e-07,7.758330109071659e-07,2.0983427780778057e-06,1.3739138073759483e-09,6.99525051599259e-11,3.976281109929758e-12,9.165016816759138e-09,1.7586810961527088e-09,5.360644085923474e-08,6.97994637290409e-06,1.0371688924371014e-10,3.282328087713532e-11
5186,1,1.7784112788848591e-07,1.0387157187214437e-10,2.0320342564774394e-09,2.5149729573941326e-08,1.1832592250063503e-05,2.887642244464426e-07,3.306573100002986e-07,2.2097505939053675e-10,2.2993407647369502e-05,8.485857040553676e-07,7.758330109071659e-07,2.0983427780778057e-06,1.3739138073759483e-09,6.99525051599259e-11,3.976281109929758e-12,9.165016816759138e-09,1.7586810961527088e-09,5.360644085923474e-08,6.97994637290409e-06,1.0371688924371014e-10,3.282328087713532e-11
5187,0,6.865711193132864e-08,1.1712560783336558e-07,4.134899050863987e-07,4.381655310394081e-08,5.27926620425886e-06,9.020004751725697e-05,1.8097894958510925e-06,1.998222775962144e-06,1.4500026173962432e-05,9.282306698468593e-07,3.6847840721699297e-07,9.984037623988334e-07,6.349514074244222e-10,1.9566548349093937e-07,6.798493486920298e-10,1.920443995933154e-06,2.4510820972704905e-09,7.420603584609871e-08,3.203274295053701e-06,1.1686492745743848e-10,5.381616625856761e-11
5187,1,6.865711193132864e-08,1.1712560783336558e-07,4.134899050863987e-07,4.381655310394081e-08,5.27926620425886e-06,9.020004751725697e-05,1.8097894958510925e-06,1.998222775962144e-06,1.4500026173962432e-05,9.282306698468593e-07,3.6847840721699297e-07,9.984037623988334e-07,6.349514074244222e-10,1.9566548349093937e-07,6.798493486920298e-10,1.920443995933154e-06,2.4510820972704905e-09,7.420603584609871e-08,3.203274295053701e-06,1.1686492745743848e-10,5.381616625856761e-11
5188,0,6.862103176530636e-08,1.207450213614528e-07,4.2621281041930326e-07,4.482545664181634e-08,5.281401745562143e-06,9.020008165201188e-05,1.810186614505134e-06,2.0554763623296344e-06,1.4500271829756438e-05,9.282042420022461e-07,3.6862153580995496e-07,9.987895154212403e-07,6.350226906814971e-10,2.0176555639997776e-07,7.008849264855677e-10,1.9789027825931754e-06,2.50705252998612e-09,7.590004740635754e-08,3.197204955998113e-06,1.1950536740745754e-10,6.25191108193264e-11
5188,1,6.862103176530636e-08,1.207450213614528e-07,4.2621281041930326e-07,4.482545664181634e-08,5.281401745562143e-06,9.020008165201188e-05,1.810186614505134e-06,2.0554763623296344e-06,1.4500271829756438e-05,9.282042420022461e-07,3.6862153580995496e-07,9.987895154212403e-07,6.350226906814971e-10,2.0176555639997776e-07,7.008849264855677e-10,1.9789027825931754e-06,2.50705252998612e-09,7.590004740635754e-08,3.197204955998113e-06,1.1950536740745754e-10,6.25191108193264e-11
