,Unnamed: 1,vENO,vFBA1,vFBA2,vGAPD,vPGK,vPGMd,vPGMi,vTPI,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
5400,0,3.482304124444697e-06,0.12685471332588363,0.9999999620347175,0.012748090850510643,0.009977659063313502,0.005273629458265398,0.0004928067787572389,1.0026456780537814,0.7314234917830524,0.0008318343024343468,0.00014056554675561143,0.0013189108787808065,4.060544622035973e-06,1.0325917012726582e-05,1.4424400544613283e-08,0.31672783490400946,2.2691933424553404e-05,0.02485952116376664,8.276669212731007e-07,1.5523378186677085e-07,0.9937068336654177
5400,1,3.482304124444697e-06,0.12685471332588363,0.9999999620347175,0.012748090850510643,0.009977659063313502,0.005273629458265398,0.0004928067787572389,1.0026456780537814,0.7314234917830524,0.0008318343024343468,0.00014056554675561143,0.0013189108787808065,4.060544622035973e-06,1.0325917012726582e-05,1.4424400544613283e-08,0.31672783490400946,2.2691933424553404e-05,0.02485952116376664,8.276669212731007e-07,1.5523378186677085e-07,0.9937068336654177
5401,0,1.3114121407929788e-07,3.4867705396502484e-05,0.999999948257015,0.002917448459587936,0.00026011616110333864,3.6339160642770095e-08,0.00018531176792974108,0.999992692960599,0.3295992773494828,5.729820752511196e-07,5.01487070403081e-05,0.000396195961333617,1.2843992406865818e-06,1.559437279403424e-08,4.1369731105712685e-12,9.213045786869065e-05,5.333878261796689e-06,0.005583534472393635,5.952549816093208e-10,1.0976665735115164e-08,5.183955108958671e-08
5401,1,1.3114121407929788e-07,3.4867705396502484e-05,0.999999948257015,0.002917448459587936,0.00026011616110333864,3.6339160642770095e-08,0.00018531176792974108,0.999992692960599,0.3295992773494828,5.729820752511196e-07,5.01487070403081e-05,0.000396195961333617,1.2843992406865818e-06,1.559437279403424e-08,4.1369731105712685e-12,9.213045786869065e-05,5.333878261796689e-06,0.005583534472393635,5.952549816093208e-10,1.0976665735115164e-08,5.183955108958671e-08
5402,0,2.4182483864177377e-09,3.001885169381672e-05,0.9999999482514796,0.002917595168497186,0.0002765398222157063,4.189259108444322e-07,0.00018529465018187437,3.94990679329568e-06,0.329607886128521,5.737589192468658e-07,5.007087004708213e-05,0.0003963851229465889,1.2756506180427848e-06,9.496859884369858e-11,2.635524291495553e-12,9.372635317761186e-05,5.334269138023772e-06,0.005583957532618679,5.755678735740419e-10,1.0979074170026456e-08,7.646003956193142e-10
5402,1,2.4182483864177377e-09,3.001885169381672e-05,0.9999999482514796,0.002917595168497186,0.0002765398222157063,4.189259108444322e-07,0.00018529465018187437,3.94990679329568e-06,0.329607886128521,5.737589192468658e-07,5.007087004708213e-05,0.0003963851229465889,1.2756506180427848e-06,9.496859884369858e-11,2.635524291495553e-12,9.372635317761186e-05,5.334269138023772e-06,0.005583957532618679,5.755678735740419e-10,1.0979074170026456e-08,7.646003956193142e-10
5403,0,1.3239429158216971e-08,3.485708055971848e-05,0.9999999482570151,0.0029174494269553733,0.0002426780444111803,3.7395322080645633e-07,0.0001855764274898352,0.9999927081677593,0.3295987618795255,5.802035967746956e-07,5.022903290114738e-05,0.00039600215255312503,1.2938700245702667e-06,1.555642671007767e-08,4.13548946549313e-12,9.21344075827986e-05,5.333881754203217e-06,0.005583539473624695,4.422750862421606e-09,1.0976691429345728e-08,8.088777606374563e-10
5403,1,1.3239429158216971e-08,3.485708055971848e-05,0.9999999482570151,0.0029174494269553733,0.0002426780444111803,3.7395322080645633e-07,0.0001855764274898352,0.9999927081677593,0.3295987618795255,5.802035967746956e-07,5.022903290114738e-05,0.00039600215255312503,1.2938700245702667e-06,1.555642671007767e-08,4.13548946549313e-12,9.21344075827986e-05,5.333881754203217e-06,0.005583539473624695,4.422750862421606e-09,1.0976691429345728e-08,8.088777606374563e-10
5404,0,1.4681247495228672e-07,3.486790645032571e-05,0.999999948257015,0.0029174471108495506,0.00025664784134747144,4.094679029422047e-08,0.0001855290830172031,0.9999926929606691,0.32959828815865083,5.793501742094909e-07,5.016403774505919e-05,0.0003961144507038756,1.287482317524428e-06,1.5594791451971174e-08,4.13811437601599e-12,9.213064675591267e-05,5.333878158733706e-06,0.005583536131078193,8.231037509090941e-10,1.0976689251868562e-08,9.727085232642871e-14
5404,1,1.4681247495228672e-07,3.486790645032571e-05,0.999999948257015,0.0029174471108495506,0.00025664784134747144,4.094679029422047e-08,0.0001855290830172031,0.9999926929606691,0.32959828815865083,5.793501742094909e-07,5.016403774505919e-05,0.0003961144507038756,1.287482317524428e-06,1.5594791451971174e-08,4.13811437601599e-12,9.213064675591267e-05,5.333878158733706e-06,0.005583536131078193,8.231037509090941e-10,1.0976689251868562e-08,9.727085232642871e-14
