,,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
0,0,8.98220085269117e-06,6.0824289216569065e-12,1.0000005551115122e-12,1.3629425104397014e-05,0.002399295928076288,1.0000005551115122e-12,1.0000005551115122e-12,7.233594999484336e-05,9.769852068460733e-06,8.868715479897881e-05,1.3596243719018975e-05,0.0005543545224094801,0.008758011575522629,0.003067441502528002,0.01520000000106247,0.0003280861975782476,0.0025428812038823974,7.687572508041917e-05,0.00017873894487457353,0.023899988046890034,8.289995222469451e-05
0,1,8.98220085269117e-06,6.0824289216569065e-12,1.0000005551115122e-12,1.3629425104397014e-05,0.002399295928076288,1.0000005551115122e-12,1.0000005551115122e-12,7.233594999484336e-05,9.769852068460733e-06,8.868715479897881e-05,1.3596243719018975e-05,0.0005543545224094801,0.008758011575522629,0.003067441502528002,0.01520000000106247,0.0003280861975782476,0.0025428812038823974,7.687572508041917e-05,0.00017873894487457353,0.023899988046890034,8.289995222469451e-05
1,0,9.054811661698237e-06,1e-12,1.0000083266726837e-12,1.397829403497738e-05,7.990029972143128e-07,3.886108991406873e-07,1.1883727831417518e-06,5.705360057784825e-05,1.0046177514543771e-05,8.821566022316801e-05,0.0015382699528590608,0.0005550001004373927,0.009629995541303261,0.0030587014237411663,0.01520000003855806,0.00032714466495268685,0.002542674374562584,7.677868827253672e-05,0.00017869657613452423,0.023899987468706644,8.257548916521657e-05
1,1,9.054811661698237e-06,1e-12,1.0000083266726837e-12,1.397829403497738e-05,7.990029972143128e-07,3.886108991406873e-07,1.1883727831417518e-06,5.705360057784825e-05,1.0046177514543771e-05,8.821566022316801e-05,0.0015382699528590608,0.0005550001004373927,0.009629995541303261,0.0030587014237411663,0.01520000003855806,0.00032714466495268685,0.002542674374562584,7.677868827253672e-05,0.00017869657613452423,0.023899987468706644,8.257548916521657e-05
2,0,0.00027564117998286273,1.0000005551115122e-12,1.0000005551115122e-12,1.9128834020035682e-05,0.002223089157461627,2.854248390482655e-05,3.0063756108519325e-05,1.3747451997230592e-07,1.2569036991895947e-05,9.681504224354455e-06,1.716728132393241e-05,0.000554528483193645,0.008928512402211607,0.003059999665944083,0.015199999999768283,0.00027046714138058013,0.0025389904457792166,7.531389734973421e-05,4.74425008179098e-05,0.02389998252706491,8.003503213994015e-05
2,1,0.00027564117998286273,1.0000005551115122e-12,1.0000005551115122e-12,1.9128834020035682e-05,0.002223089157461627,2.854248390482655e-05,3.0063756108519325e-05,1.3747451997230592e-07,1.2569036991895947e-05,9.681504224354455e-06,1.716728132393241e-05,0.000554528483193645,0.008928512402211607,0.003059999665944083,0.015199999999768283,0.00027046714138058013,0.0025389904457792166,7.531389734973421e-05,4.74425008179098e-05,0.02389998252706491,8.003503213994015e-05
3,0,0.00030688946699685055,1.5951700243160739e-12,1.0000005551115122e-12,9.957272918008135e-06,0.002767043358268595,0.0011482601500026138,5.066407985681144e-05,7.436937787215195e-05,6.474686316489516e-06,6.4483043391925724e-06,9.198636460918754e-06,0.0005540735927844312,0.008392949292263583,0.003069105224768377,0.015199999853186437,0.00032830092054700647,0.0025449620415359665,7.869790036680433e-05,3.16063432778793e-05,0.023899992018253647,3.5254067101350584e-05
3,1,0.00030688946699685055,1.5951700243160739e-12,1.0000005551115122e-12,9.957272918008135e-06,0.002767043358268595,0.0011482601500026138,5.066407985681144e-05,7.436937787215195e-05,6.474686316489516e-06,6.4483043391925724e-06,9.198636460918754e-06,0.0005540735927844312,0.008392949292263583,0.003069105224768377,0.015199999853186437,0.00032830092054700647,0.0025449620415359665,7.869790036680433e-05,3.16063432778793e-05,0.023899992018253647,3.5254067101350584e-05
4,0,9.054778747124396e-06,9.768912210690025e-10,1.4219093450676048e-05,1.3812617509414199e-05,9.693918674325313e-06,3.8938445052966495e-07,1.1902687127787368e-06,5.703228356278669e-05,9.904854819104646e-06,8.821586677728627e-05,0.0015294208292085045,0.0005550012094974865,0.009629945973122502,0.0030578774748957448,0.01519697344254916,0.0003270573338882521,0.002542768133438929,7.682366307726114e-05,0.000178696589113259,0.0238999878172959,8.257512464443633e-05
4,1,9.054778747124396e-06,9.768912210690025e-10,1.4219093450676048e-05,1.3812617509414199e-05,9.693918674325313e-06,3.8938445052966495e-07,1.1902687127787368e-06,5.703228356278669e-05,9.904854819104646e-06,8.821586677728627e-05,0.0015294208292085045,0.0005550012094974865,0.009629945973122502,0.0030578774748957448,0.01519697344254916,0.0003270573338882521,0.002542768133438929,7.682366307726114e-05,0.000178696589113259,0.0238999878172959,8.257512464443633e-05
